ClusterID	AlignBLK	Alignment_length	genome_pos_mel	genome_pos_yak	genome_pos_pse	genome_pos_vir	length_mel	length_yak	length_pse	length_vir	mappability_mel	mappability_yak	mappability_pse	mappability_vir	ChIP_mel	ChIP_yak	ChIP_pse	ChIP_vir	norm_ChIP_mel	norm_ChIP_yak	norm_ChIP_pse	norm_ChIP_vir	pred_ChIP_mel	pred_ChIP_yak	pred_ChIP_pse	pred_ChIP_vir
3202	660	1078	chr3R:27048860-27049520	chr3R:27985304-27986040	chr2:81798-82083	scaffold_12855:1222916-1223360	661	737	286	445	100	100	100	100	57.28	38.53	17.08	32.27	0.422	-0.436	-0.526	-0.48	0.2295	0.0695	0.0098	0.0128
3216	662	977	chr3R:27191678-27191956	chr3R:28122240-28122580	chr2:4386391-4387145	scaffold_13047:12577679-12577912	279	341	755	234	100	100	100	100	34.71	94.57	24.55	24.82	-0.079	0.462	-0.164	-0.742	0.3276	0.0598	1.6605	0.0861
3219	662	689	chr3R:27218420-27219090	chr3R:28149710-28150380	chr2:4418189-4418859	scaffold_13047:12620821-12621471	671	671	671	651	100	100	100	100	33.91	84.07	31.83	29.78	-0.102	0.344	0.096	-0.56	1.3588	0.7723	0.1226	0.3852
3228	662	343	chr3R:27259956-27260185	chr3R:28189059-28189289	chr2:4469680-4469910	scaffold_13047:12663359-12663617	230	231	231	259	100	100	87.5	100	36.87	38.53	54.02	9.93	-0.019	-0.436	0.625	-1.659	0.0207	0.0045	0.1403	0.086
3231	662	334	chr3R:27274560-27274798	chr3R:28204642-28204886	chr2:4496594-4496835	scaffold_13047:12680510-12680760	239	245	242	251	100	100	100	100	23.55	42.03	25.91	74.46	-0.467	-0.349	-0.109	0.356	0.0099	0.0227	0.011	0.0082
3244	664	1428	chr3R:27354774-27355621	chr3R:28289520-28290110	chr2:4598266-4599013	scaffold_13047:12773022-12773844	848	591	748	823	100	100	100	100	35.72	94.57	17.43	27.3	-0.051	0.462	-0.506	-0.647	0.2141	0.2958	0.2215	0.3469
3251	665	477	chr3R:27406937-27407394	chr3R:28341937-28342385	chr2:8384780-8385210	scaffold_13047:9603918-9604347	458	449	431	430	100	100	100	100	46.24	49.04	56.63	27.3	0.208	-0.195	0.672	-0.647	0.6286	0.472	0.0445	0.0367
3266	666	1086	chr3R:27530549-27531061	chr3R:28463770-28464330	chr2:16585608-16586181	scaffold_13047:9432593-9433418	513	561	574	826	100	100	100	100	49.39	98.08	30.57	42.19	0.274	0.499	0.056	-0.212	0.7411	0.4655	0.4617	1.6389
3268	666	750	chr3R:27533060-27533398	chr3R:28466400-28466740	chr2:16583726-16584047	scaffold_13047:9427673-9428228	339	341	322	556	100	100	100	100	32.61	87.57	22.98	42.19	-0.142	0.385	-0.23	-0.212	0.0027	0.0031	0.0028	0.6039
3275	666	1958	chr3R:27564550-27565560	chr3R:28499115-28500128	chr2:16538382-16539556	scaffold_13047:9383441-9384575	1011	1014	1175	1135	100	100	100	100	74.57	49.04	25.81	42.19	0.686	-0.195	-0.113	-0.212	1.1666	1.5994	0.5007	0.0452
3277	667	2034	chr3R:27573550-27574482	chr3R:28508143-28509100	chr2:16528662-16530299	scaffold_13047:11106251-11107278	933	958	1638	1028	100	100	100	100	66.94	126.1	36.01	37.23	0.577	0.75	0.22	-0.337	0.0296	0.1945	0.3285	0.008
3279	670	1292	chr3R:27611910-27613140	chr3R:28546484-28547710	chr2:14057540-14058742	scaffold_13047:11145412-11146584	1231	1227	1203	1173	100	100	100	100	81.86	56.04	40.94	64.53	0.779	-0.0610000000000001	0.348	0.213	1.4945	1.1126	0.8926	1.0307
3291	672	1282	chr3R:27694952-27695707	chr3R:28632100-28632880	chr2:15007631-15008555	scaffold_13047:14895894-14896734	756	781	925	841	100	100	100	100	43.35	87.57	26.44	62.05	0.143	0.385	-0.089	0.174	1.3306	1.7343	2.2767	1.379
3299	672	1902	chr3R:27791430-27791999	chr3R:28725881-28726460	chr2:15122519-15124129	scaffold_13047:15010816-15011610	570	580	1611	795	100	100	100	100	68.18	91.07	38.64	104.25	0.596	0.425	0.29	0.693	1.5286	2.0126	3.243	1.6195
3319	677	839	chr3L:99748-100007	chr3L:74930-75250	chrXR_group8:1056086-1056501	scaffold_13049:2850555-2851082	260	321	416	528	100	100	100	100	33.1	98.08	13.71	22.34	-0.127	0.499	-0.746	-0.848	0.0949	0.1248	0.1142	1.1842
3320	677	1112	chr3L:128380-128910	chr3L:98146-98703	chrXR_group8:1018529-1019293	scaffold_13049:2804269-2804970	531	558	765	702	100	100	100	100	78.65	70.06	18.75	32.27	0.739	0.162	-0.433	-0.48	0.3163	0.2857	0.011	0.0281
3322	677	1446	chr3L:130940-131610	chr3L:100578-101238	chrXR_group8:1014958-1015925	scaffold_13049:2801305-2802183	671	661	968	879	100	100	100	100	82.36	252.2	28.06	9.93	0.785	1.443	-0.03	-1.659	0.1612	0.1011	0.0261	0.0252
3325	677	171	chr3L:142396-142566	chr3L:112349-112519	chrXR_group8:1000152-1000322	scaffold_13049:2785870-2786040	171	171	171	171	100	100	100	100	28.08	42.03	24.24	74.46	-0.291	-0.349	-0.176	0.356	0.1262	0.2148	0.0086	0.0555
3333	682	625	chr3L:206430-207030	chr3L:184643-185243	chrXR_group8:1452346-1452919	scaffold_13049:562613-563225	601	601	574	613	100	100	100	100	86.08	49.04	23.31	14.89	0.829	-0.195	-0.215	-1.253	1.8366	1.8209	1.1579	1.1101
3340	687	1222	chr3L:258019-258580	chr3L:236490-237028	chrXR_group8:1376116-1376337	scaffold_10322:375811-376639	562	539	222	829	100	100	100	100	55.79	105.08	12.1	12.41	0.395	0.568	-0.871	-1.436	1.3535	0.9092	0.0245	0.41
3348	690	811	chr3L:319600-320060	chr3L:298702-299212	chrXR_group8:1399958-1400222	scaffold_13047:2553670-2554108	461	511	265	439	100	100	100	100	46.49	140.11	18.37	17.37	0.213	0.855	-0.453	-1.099	0.4889	2.385	0.2224	0.1089
3351	693	921	chr3L:347661-348050	chr3L:327501-327896	chrXR_group8:1249340-1250129	scaffold_13049:3098885-3099250	390	396	790	366	100	100	100	100	53.3	80.56	25.86	67.02	0.35	0.302	-0.111	0.251	0.0215	0.0189	0.3759	0.8045
3353	695	251	chr3L:360111-360361	chr3L:340087-340337	chrXR_group3a:592137-592387	scaffold_13049:3084150-3084400	251	251	251	251	100	100	100	100	40.97	31.52	28.16	69.5	0.087	-0.636	-0.026	0.287	0.2301	0.0138	0.0244	0.369
3369	698	1057	chr3L:489904-490372	chr3L:468390-468890	chrXR_group3a:926872-927588	scaffold_13049:3285324-3286037	469	501	717	714	100	100	100	100	32.6	133.11	22.19	19.86	-0.142	0.804	-0.264	-0.966	0.1359	0.0695	0.1423	0.1356
3375	698	1187	chr3L:539407-539777	chr3L:520140-520510	chrXR_group3a:854529-855382	scaffold_13049:3364088-3364782	371	371	854	695	100	100	100	100	25.1	94.57	25.86	17.37	-0.403	0.462	-0.111	-1.099	0.0063	0.0037	0.2431	0.2075
3386	702	245	chr3L:681077-681250	chr3L:670336-670509	chrXR_group8:4560205-4560400	scaffold_13049:8955840-8956080	174	174	196	241	100	100	100	100	44.38	52.54	44.16	71.98	0.167	-0.126	0.424	0.322	0.075	0.0991	0.0129	0.0062
3387	702	261	chr3L:681469-681729	chr3L:670729-670989	chrXR_group8:4559731-4559991	scaffold_13049:8955420-8955680	261	261	261	261	100	100	100	100	27.09	28.02	61.41	96.8	-0.327	-0.754	0.754	0.619	0.0326	0.0012	0.0239	0.8907
3389	702	1727	chr3L:695630-696590	chr3L:685596-686780	chrXR_group8:4544789-4545725	scaffold_13049:8940514-8941420	961	1185	937	907	100	100	100	94.505	74.75	133.11	26.8	44.68	0.688	0.804	-0.076	-0.155	1.989	1.7715	3.1331	0.3731
3390	702	1038	chr3L:697320-698030	chr3L:687533-688247	chrXR_group8:4543549-4544251	scaffold_13049:8939445-8940003	711	715	703	559	100	100	100	100	94.88	112.09	25.91	34.75	0.926	0.632	-0.109	-0.406	1.6879	1.3537	0.7418	0.2095
3392	702	986	chr3L:699540-700130	chr3L:689855-690547	chrXR_group8:4541812-4542341	scaffold_13049:8937719-8938146	591	693	530	428	100	100	100	100	90.37	28.02	25.86	54.61	0.878	-0.754	-0.111	0.046	0.7471	0.7972	0.0248	0.0249
3394	702	1147	chr3L:707911-708518	chr3L:699800-700400	chrXR_group8:4531625-4532289	scaffold_13049:8927059-8927628	608	601	665	570	100	100	100	100	40.85	91.07	22.67	76.94	0.084	0.425	-0.243	0.389	0.9719	0.9034	0.1298	0.2002
3395	702	2621	chr3L:734831-735931	chr3L:728390-729380	chrXR_group8:4503159-4504396	scaffold_13049:8891630-8893464	1101	991	1238	1835	100	100	100	100	81.92	122.6	56.91	69.5	0.78	0.722	0.677	0.287	0.7312	1.2699	1.8189	1.4415
3396	702	1678	chr3L:743896-744860	chr3L:737383-738340	chrXR_group8:4494905-4495800	scaffold_13049:8881886-8882864	965	958	896	979	100	100	100	100	71.21	94.57	63.79	54.61	0.639	0.462	0.792	0.046	0.2537	0.7632	0.8907	2.1371
3397	702	323	chr3L:745296-745532	chr3L:738791-739023	chrXR_group8:4493799-4494079	scaffold_13049:8880870-8881090	237	233	281	221	100	100	100	100	36.01	59.55	38.69	67.02	-0.042	0	0.292	0.251	1.0947	1.0945	1.1895	1.0962
3399	702	2165	chr3L:749150-750010	chr3L:742965-743864	chrXR_group8:4488298-4489664	scaffold_13049:8876149-8877407	861	900	1367	1259	100	100	100	100	76.61	63.05	28.21	94.32	0.712	0.0569999999999999	-0.024	0.593	1.499	1.4972	1.2579	1.3984
3400	702	1618	chr3L:753400-754210	chr3L:747192-748030	chrXR_group8:4484060-4484775	scaffold_13049:8871220-8872436	811	839	716	1217	100	100	100	100	102.33	126.1	38.11	64.53	1.002	0.75	0.276	0.213	1.3439	1.1641	0.3818	0.5282
3401	702	929	chr3L:755010-755530	chr3L:748829-749415	chrXR_group8:4482824-4483427	scaffold_13049:8870738-8870992	521	587	604	255	100	100	100	100	97.68	133.11	23.46	22.34	0.955	0.804	-0.209	-0.848	1.4849	1.4642	0.2571	0.0046
3406	702	476	chr3L:802193-802522	chr3L:796779-797097	chrXR_group8:4431093-4431319	scaffold_13049:8815850-8816120	330	319	227	271	100	100	100	100	20.4	38.53	20.47	81.91	-0.611	-0.436	-0.345	0.452	0.0101	0.0027	0.006	0.0179
3412	708	236	chr3L:869904-870084	chr3L:849258-849478	chrXR_group6:6467577-6467728	scaffold_13049:11272140-11272330	181	221	152	191	100	100	100	100	30.06	42.03	20.72	71.98	-0.223	-0.349	-0.333	0.322	0.5831	0.5838	0.001	0.0075
3414	709	1589	chr3L:876561-877113	chr3L:855870-856390	chrXR_group6:6474127-6474794	scaffold_13049:15424143-15425321	553	521	668	1179	100	100	100	100	24.37	84.07	19.59	37.23	-0.433	0.344	-0.389	-0.337	0.4542	0.4396	0.7607	0.833
3417	709	556	chr3L:908987-909270	chr3L:888810-889127	chrXR_group6:6512078-6512570	scaffold_13049:15462500-15462890	284	318	493	391	100	100	100	100	32.29	42.03	17.08	71.98	-0.152	-0.349	-0.526	0.322	0.3953	0.3951	0.0661	0.0242
3421	709	320	chr3L:948071-948249	chr3L:920966-921169	chrXR_group6:6564688-6564881	scaffold_13049:15501310-15501550	179	204	194	241	100	100	100	100	43.63	21.02	24.7	69.5	0.15	-1.042	-0.157	0.287	0.0027	0.0016	0.0213	0.3886
3436	713	716	chr3L:1167116-1167511	chr3L:1129950-1130350	chrXR_group8:5906628-5907003	scaffold_13049:466971-467410	396	401	376	440	100	100	100	100	37.31	241.69	16.6	39.71	-0.00699999999999999	1.401	-0.555	-0.272	0.0124	0.0129	0.0013	0.0099
3445	715	848	chr3L:1232819-1233583	chr3L:1191500-1192270	chrXR_group8:891752-892564	scaffold_13049:8624178-8624955	765	771	813	778	100	100	100	100	54.23	91.07	17.49	39.71	0.367	0.425	-0.503	-0.272	0.6112	0.7556	0.5036	0.4344
3446	715	189	chr3L:1236630-1236803	chr3L:1195380-1195553	chrXR_group8:887719-887897	scaffold_13049:8620790-8620970	174	174	179	181	100	100	100	100	32.3	45.54	16.6	67.02	-0.151	-0.269	-0.555	0.251	9e-04	1e-04	0.0063	0.0182
3459	717	653	chr3L:1292741-1293315	chr3L:1251481-1252055	chrXR_group8:821310-821908	scaffold_13049:8559600-8560150	575	575	599	551	100	100	100	100	74.69	49.04	26.44	104.25	0.687	-0.195	-0.089	0.693	1.4048	1.2926	1.5734	0.1385
3467	720	532	chr3L:1346160-1346652	chr3L:1305078-1305580	chrXR_group8:4652649-4652965	scaffold_13049:5748807-5749117	493	503	317	311	100	100	100	100	55.41	91.07	27.58	4.96	0.388	0.425	-0.047	-2.352	0.5381	0.3975	0.1157	0.9973
3479	723	2221	chr3L:1444852-1445690	chr3L:1402680-1403522	chrXR_group3a:655707-656714	scaffold_13049:3568988-3570531	839	843	1008	1544	100	100	98.02	100	59.19	108.59	40.01	39.71	0.454	0.6	0.325	-0.272	2.2757	1.8451	0.8047	2.5485
3484	723	420	chr3L:1476072-1476453	chr3L:1434350-1434730	chrXR_group3a:618861-619272	scaffold_13049:3618026-3618343	382	381	412	318	100	100	100	100	34.16	87.57	21.64	17.37	-0.095	0.385	-0.29	-1.099	0.4304	0.4003	0.0032	0.0509
3488	724	230	chr3L:1524023-1524241	chr3L:1473253-1473477	chrXR_group3a:1100857-1101081	scaffold_13049:3662160-3662380	219	225	225	221	100	100	100	100	34.72	31.52	20.57	69.5	-0.079	-0.636	-0.34	0.287	0.0077	0.0017	0.0522	0.0761
3492	725	187	chr3L:1542050-1542233	chr3L:1491143-1491326	chrXR_group3a:1120762-1120945	scaffold_13049:10112960-10113140	184	184	184	181	100	100	100	100	30.63	38.53	13.77	76.94	-0.204	-0.436	-0.742	0.389	0.1079	0.1069	0.0026	0.0062
3497	728	626	chr3L:1572038-1572582	chr3L:1522273-1522822	chrXR_group6:6345950-6346520	scaffold_13049:10084479-10085056	545	550	571	578	100	100	100	100	19.35	28.02	55.06	32.27	-0.664	-0.754	0.644	-0.48	0.2407	0.2495	1.1537	2.4734
3529	733	1465	chr3L:1746764-1747410	chr3L:1699050-1699662	chrXR_group8:4103403-4104326	scaffold_10322:134503-135376	647	613	924	874	100	100	100	100	69.66	98.08	27.38	49.64	0.617	0.499	-0.054	-0.049	1.1509	1.7365	0.8018	2.0166
3534	736	351	chr3L:1770088-1770438	chr3L:1722523-1722873	chrXR_group8:510243-510593	scaffold_10322:96170-96520	351	351	351	351	100	100	100	100	39.54	45.54	29.83	138.99	0.051	-0.269	0.032	0.98	0.1283	0.52	0.1932	0.5929
3536	736	712	chr3L:1777380-1778030	chr3L:1729787-1730437	chrXR_group8:518399-519074	scaffold_10322:88190-88875	651	651	676	686	100	100	100	100	69.17	49.04	29.58	76.94	0.61	-0.195	0.023	0.389	1.0469	0.6378	0.6087	0.556
3539	737	269	chr3L:1846621-1846741	chr3L:1799346-1799471	chrXR_group6:5021755-5021894	scaffold_13049:4024010-4024210	121	126	140	201	100	100	100	100	27.15	70.06	6.86	81.91	-0.325	0.162	-1.439	0.452	0.2083	0.5008	0.0479	0.0277
3548	738	239	chr3L:1935180-1935385	chr3L:1889492-1889699	chrXR_group6:5122197-5122406	scaffold_13049:9369120-9369330	206	208	210	211	100	100	100	100	31.74	38.53	12.78	71.98	-0.169	-0.436	-0.816	0.322	0.822	0.6162	0.0635	0.0362
3550	739	251	chr3L:1951810-1952060	chr3L:1906297-1906547	chrXR_group6:5140738-5140988	scaffold_13049:12183671-12183921	251	251	251	251	100	100	100	100	78.4	52.54	17.18	22.34	0.736	-0.126	-0.52	-0.848	0.0345	0.079	0.0649	0.1339
3558	742	191	chr3L:2046936-2047126	chr3L:2003618-2003808	chrXR_group6:11955069-11955259	scaffold_13049:12079330-12079520	191	191	191	191	100	100	100	100	18.98	45.54	30.67	101.76	-0.683	-0.269	0.059	0.669	0.4841	0.4793	0.0267	0.0348
3564	742	508	chr3L:2100377-2100873	chr3L:2058180-2058660	chrXR_group6:12010460-12010941	scaffold_13049:12008250-12008720	497	481	482	471	100	100	100	100	40.23	98.08	32.04	24.82	0.068	0.499	0.103	-0.742	0.6468	1.0587	0.0986	1.2432
3565	742	771	chr3L:2101573-2102343	chr3L:2059360-2060130	chrXR_group6:12011641-12012411	scaffold_13049:12006780-12007550	771	771	771	771	100	100	100	100	57.71	84.07	31.78	47.16	0.429	0.344	0.095	-0.101	0.2829	0.2844	0.8493	0.2209
3567	742	800	chr3L:2146158-2146743	chr3L:2099180-2099770	chrXR_group6:12054397-12055008	scaffold_13049:11967920-11968513	586	591	612	594	100	100	100	100	43.64	84.07	25.96	42.19	0.15	0.344	-0.107	-0.212	0.1304	0.1684	0.055	0.0683
3568	742	257	chr3L:2160267-2160500	chr3L:2113310-2113545	chrXR_group6:12070096-12070321	scaffold_13049:11954990-11955210	234	236	226	221	100	100	100	100	29.81	49.04	18.07	89.35	-0.231	-0.195	-0.47	0.539	0.0018	0.0017	0.4323	0.0103
3574	742	1146	chr3L:2197040-2197920	chr3L:2150459-2151326	chrXR_group6:12109531-12110473	scaffold_13049:11915486-11916319	881	868	943	834	100	100	100	100	59.07	105.08	28.11	24.82	0.452	0.568	-0.028	-0.742	0.6831	1.0215	0.7685	0.8317
3579	742	1035	chr3L:2225672-2226092	chr3L:2179990-2180410	chrXR_group6:12145060-12145613	scaffold_13049:11884304-11884928	421	421	554	625	100	100	100	100	35.82	94.57	20.47	47.16	-0.048	0.462	-0.345	-0.101	0.2086	0.0778	0.3519	0.7306
3580	742	1617	chr3L:2226229-2227227	chr3L:2180547-2181570	chrXR_group6:12145819-12147063	scaffold_13049:11883649-11884060	999	1024	1245	412	100	100	100	100	45.25	84.07	28.16	62.05	0.186	0.344	-0.026	0.174	0.3279	0.3795	0.1019	0.0107
3581	742	1143	chr3L:2228220-2228880	chr3L:2182577-2183255	chrXR_group6:12148161-12149130	scaffold_13049:11882201-11882749	661	679	970	549	100	100	100	96.296	70.04	119.09	39.93	29.78	0.623	0.693	0.323	-0.56	2.2839	1.5531	0.1761	0.05
3584	742	553	chr3L:2235914-2236369	chr3L:2190373-2190894	chrXR_group6:12156312-12156747	scaffold_13049:11874430-11874850	456	522	436	421	100	100	100	100	31.87	56.04	29.78	67.02	-0.165	-0.0610000000000001	0.03	0.251	0.9675	0.8927	0.0446	0.3812
3585	742	172	chr3L:2236473-2236644	chr3L:2191010-2191181	chrXR_group6:12156881-12157049	scaffold_13049:11874140-11874310	172	172	169	171	100	100	100	100	32.05	31.52	13.66	86.87	-0.159	-0.636	-0.749	0.51	0.0172	0.0156	5e-04	0.0814
3600	745	1504	chr3L:2393189-2393910	chr3L:9542200-9542930	chrXR_group6:12350605-12351737	scaffold_10322:168717-169501	722	731	1133	785	100	100	100	100	124.01	98.08	25.96	24.82	1.194	0.499	-0.107	-0.742	1.4591	1.4495	0.8999	0.3963
3604	745	727	chr3L:2467147-2467434	chr3L:9474674-9474962	chrXR_group6:12430880-12431280	scaffold_10322:242491-243040	288	289	401	550	100	100	100	100	18.72	21.02	71.89	19.86	-0.697	-1.042	0.911	-0.966	0.0018	0.0054	0.0919	0.0225
3605	745	1758	chr3L:2482860-2483640	chr3L:9458089-9458906	chrXR_group6:12448301-12449359	scaffold_10322:258239-259082	781	818	1059	844	100	100	100	96.471	66.07	45.54	24.29	27.3	0.564	-0.269	-0.174	-0.647	1.5172	1.4009	0.4203	0.1001
3611	746	336	chr3L:2586402-2586710	chr3L:9352444-9352760	chrXR_group3a:1394729-1394815	scaffold_13049:5210612-5210705	309	317	87	94	100	100	100	100	65.71	80.56	12.83	19.86	0.559	0.302	-0.812	-0.966	0.0935	0.1468	0.0059	0.0016
3614	747	319	chr3L:2604115-2604301	chr3L:9334854-9335042	chrXR_group3a:1335732-1336018	scaffold_13049:5155150-5155380	187	189	287	231	100	100	100	100	33.66	45.54	26.39	76.94	-0.11	-0.269	-0.091	0.389	0.908	0.3728	0.0743	0.015
3629	748	179	chr3L:2732421-2732575	chr3L:9200287-9200440	chrXR_group5:115039-115199	scaffold_13049:11101100-11101260	155	154	161	161	100	100	100	100	20.64	59.55	16.65	74.46	-0.599	0	-0.552	0.356	0.1153	0.1153	0.113	0.1154
3633	748	1592	chr3L:2750211-2750757	chr3L:9181560-9182120	chrXR_group5:139922-140406	scaffold_13049:11079809-11081185	547	561	485	1377	100	100	100	100	35.15	91.07	13.46	34.75	-0.067	0.425	-0.764	-0.406	0.5294	0.6595	0.3587	1.185
3641	750	281	chr3L:2825172-2825353	chr3L:9108729-9108910	chrXR_group8:3654952-3655225	scaffold_13049:14952700-14952890	182	182	274	191	100	100	100	100	14.57	52.54	16.95	67.02	-0.947	-0.126	-0.534	0.251	1e-04	3e-04	1e-04	1e-04
3649	750	1587	chr3L:2899116-2899877	chr3L:9028810-9029550	chrXR_group8:3745390-3745952	scaffold_13049:15042821-15043776	762	741	563	956	100	100	100	100	34.96	80.56	20.37	29.78	-0.072	0.302	-0.35	-0.56	0.8001	0.5579	0.0808	0.1249
3653	752	465	chr3L:2996453-2996643	chr3L:8943168-8943348	chrXR_group8:3806344-3806568	scaffold_13049:15146010-15146220	191	181	225	211	100	100	100	100	18.97	63.05	18.02	84.39	-0.683	0.0569999999999999	-0.473	0.481	0.2592	0.0205	0.5706	0.0012
3657	752	302	chr3L:3016134-3016427	chr3L:8923040-8923310	chrXR_group8:3827638-3827859	scaffold_13049:15172840-15173076	294	271	222	237	100	100	100	100	31	80.56	21.41	9.93	-0.192	0.302	-0.3	-1.659	0.2656	0.3364	0.0128	0.5112
3660	753	1776	chr3L:3037170-3038580	chr3L:8899015-8900451	chrXR_group6:9816429-9817619	scaffold_13049:10120497-10121816	1411	1437	1191	1320	100	100	100	100	88.32	203.16	33.35	34.75	0.855	1.227	0.143	-0.406	2.1558	1.4674	0.9006	0.578
3662	756	726	chr3L:3060198-3060615	chr3L:8878670-8879090	chrXR_group8:3931136-3931704	scaffold_13049:15197666-15197900	418	421	569	235	100	100	100	100	29.75	98.08	22.04	22.34	-0.234	0.499	-0.271	-0.848	0.0076	0.1955	0.2265	0.0328
3669	762	184	chr3L:3190833-3191016	chr3L:3736460-3736643	chrXR_group6:4040447-4040630	scaffold_13049:8227290-8227470	184	184	184	181	100	100	100	100	24.11	31.52	20.57	69.5	-0.443	-0.636	-0.34	0.287	3e-04	0.0021	4e-04	5e-04
3670	762	719	chr3L:3194181-3194806	chr3L:3739520-3740130	chrXR_group6:4035212-4035758	scaffold_13049:8229917-8230241	626	611	547	325	96.774	100	100	100	54.68	101.58	25.61	12.41	0.375	0.534	-0.121	-1.436	1.6453	1.6766	0.3558	1.0032
3672	762	306	chr3L:3200468-3200733	chr3L:3745806-3746071	chrXR_group6:4028997-4029285	scaffold_13049:8236070-8236350	266	266	289	281	100	100	100	100	41.71	24.52	21.74	96.8	0.104	-0.888	-0.285	0.619	0.0088	0.0627	0.0068	0.0065
3674	762	385	chr3L:3203651-3204025	chr3L:3748954-3749328	chrXR_group6:4025834-4026195	scaffold_13049:8240050-8240420	375	375	362	371	100	100	100	100	38.56	52.54	21.31	69.5	0.026	-0.126	-0.305	0.287	0.3184	0.5943	0.7681	0.4212
3676	762	288	chr3L:3207090-3207373	chr3L:3752468-3752751	chrXR_group6:4021125-4021405	scaffold_13049:8244460-8244740	284	284	281	281	100	100	100	100	36.33	21.02	23.71	67.02	-0.034	-1.042	-0.198	0.251	0.0801	0.0018	0.0996	0.0329
3678	763	846	chr3L:3223916-3224590	chr3L:3768357-3769102	chrXR_group8:3327540-3327880	scaffold_12758:939494-939921	675	746	341	428	100	100	100	100	60.62	59.55	53.67	17.37	0.478	0	0.619	-1.099	2.8545	3.6034	1.0586	0.4162
3681	765	352	chr3L:3289103-3289426	chr3L:3834440-3834750	chrXR_group8:3262237-3262454	scaffold_12758:866559-866791	324	311	218	233	100	100	100	100	22.94	94.57	17.59	12.41	-0.493	0.462	-0.497	-1.436	0.0828	0.1418	0.0125	0.0097
3685	766	285	chr3L:3312178-3312462	chr3L:3859536-3859817	chrXR_group8:1278410-1278658	scaffold_13049:10136460-10136700	285	282	249	241	100	100	100	100	24.12	38.53	30.62	69.5	-0.443	-0.436	0.058	0.287	0.0802	0.989	0.0033	0.003
3688	767	661	chr3L:3327642-3328274	chr3L:3874415-3874959	chrXR_group8:1266088-1266550	scaffold_13049:2242953-2243440	633	545	463	488	100	100	100	100	32.48	45.54	35.43	67.02	-0.146	-0.269	0.203	0.251	0.1552	0.1169	0.269	0.0274
3689	770	715	chr3L:3337311-3337745	chr3L:3884160-3884610	chrXR_group8:5450080-5450519	scaffold_13049:5212115-5212691	435	451	440	577	100	100	100	100	44.45	115.59	21.31	17.37	0.168	0.663	-0.305	-1.099	0.0169	0.0778	0.1587	0.2033
3690	770	469	chr3L:3354460-3354870	chr3L:3901560-3901952	chrXR_group8:5428748-5429088	scaffold_13049:5240072-5240407	411	393	341	336	100	100	100	100	57.41	45.54	29	22.34	0.424	-0.269	0.003	-0.848	0.3607	0.6337	0.5684	0.0663
3691	770	251	chr3L:3355918-3356168	chr3L:3903003-3903253	chrXR_group8:5427495-5427745	scaffold_13049:5241420-5241670	251	251	251	251	100	100	100	100	25.43	35.03	37.32	69.5	-0.391	-0.531	0.256	0.287	0.218	0.0134	0.5159	0.3721
3696	771	337	chr3L:3383792-3383929	chr3L:3930656-3930806	chrXR_group8:5473468-5473632	scaffold_13049:7059460-7059700	138	151	165	241	100	100	100	100	16.49	14.01	21.51	81.91	-0.824	-1.447	-0.296	0.452	0.0123	0.0442	0.0218	0.0066
3706	774	1928	chr3L:3511400-3512830	chr3L:4062290-4063725	chrXR_group8:5630269-5631857	scaffold_13049:4636891-4638292	1431	1436	1589	1402	100	99.306	100	100	69.99	77.06	28.11	44.68	0.622	0.257	-0.028	-0.155	3.5015	2.4355	0.9597	0.7732
3707	774	1805	chr3L:3512973-3513470	chr3L:4063866-4064371	chrXR_group8:5632140-5632750	scaffold_13049:4635814-4636792	498	506	611	979	100	100	100	100	38.55	21.02	67.74	39.71	0.026	-1.042	0.852	-0.272	1.3289	0.3227	2.2285	0.2815
3712	775	420	chr3L:3658197-3658442	chr3L:4207596-4207850	chrXR_group6:6677363-6677677	scaffold_13049:4425410-4425690	246	255	315	281	100	100	100	100	38.87	56.04	11.36	67.02	0.034	-0.0610000000000001	-0.934	0.251	0.0346	0.0169	0.0428	0.0894
3720	775	1678	chr3L:3782538-3783091	chr3L:4338090-4338730	chrXR_group6:6841257-6841685	scaffold_13049:4251884-4253105	554	641	429	1222	100	100	100	100	31.01	304.74	23.61	14.89	-0.192	1.632	-0.202	-1.253	0.549	0.5584	0.4757	0.2489
3742	781	1013	chr3L:4040480-4041090	chr3L:4608271-4608875	chrXR_group6:6430611-6431522	scaffold_13049:15391292-15391804	611	605	912	513	100	100	85.714	100	75.3	56.04	25.76	14.89	0.695	-0.0610000000000001	-0.115	-1.253	1.9425	1.1838	0.5053	0.0044
3743	781	275	chr3L:4041380-4041654	chr3L:4609174-4609448	chrXR_group6:6430050-6430324	scaffold_13049:15390710-15390984	275	275	275	275	100	100	100	100	44.87	28.02	16.6	81.91	0.178	-0.754	-0.555	0.452	1.2357	0.8826	1.0559	0.5894
3746	781	801	chr3L:4062070-4062550	chr3L:4630792-4631258	chrXR_group6:6408682-6409152	scaffold_13049:15366330-15366976	481	467	471	647	100	100	100	100	68.3	98.08	43.3	52.12	0.598	0.499	0.404	0	0.9141	0.8842	1.0793	0.9987
